type,pro,ID
A,YAL002W,2271
A,YAL009W,3495
A,YAL010C,3232
A,YAL013W,3166
A,YAL016W,934
A,YAL020C,2291
A,YAL021C,1416
A,YAL024C,2443
A,YAL025C,677
A,YAL026C,1744
A,YAL035W,191
A,YAL041W,2111
A,YAL047C,3496
A,YBL002W,423
A,YBL003C,387
A,YBL007C,1869
A,YBL025W,4560
A,YBL027W,1097
A,YBL035C,2121
A,YBL058W,1920
A,YBL079W,1555
A,YBL091C,507
A,YBL097W,1984
A,YBR001C,1833
A,YBR009C,108
A,YBR017C,1534
A,YBR048W,377
A,YBR055C,1840
A,YBR073W,1187
A,YBR079C,360
A,YBR081C,729
A,YBR082C,459
A,YBR087W,935
A,YBR088C,92
A,YBR112C,204
A,YBR127C,893
A,YBR158W,2140
A,YBR159W,854
A,YBR160W,6
A,YBR169C,171
A,YBR171W,2930
A,YBR179C,1081
A,YBR185C,3451
A,YBR189W,155
A,YBR200W,2179
A,YBR212W,824
A,YBR253W,3926
A,YBR279W,3414
A,YCL004W,1347
A,YCL029C,2322
A,YCL043C,216
A,YCR002C,2379
A,YCR021C,2804
A,YCR028C,4071
A,YCR034W,2180
A,YCR042C,2652
A,YCR044C,3094
A,YCR047C,688
A,YCR063W,2407
A,YCR077C,2318
A,YCR088W,2573
A,YCR094W,3057
A,YDL003W,989
A,YDL005C,3714
A,YDL006W,906
A,YDL014W,42
A,YDL040C,2286
A,YDL047W,444
A,YDL058W,1695
A,YDL084W,105
A,YDL090C,4087
A,YDL092W,2012
A,YDL102W,887
A,YDL108W,1807
A,YDL116W,1963
A,YDL145C,1538
A,YDL160C,269
A,YDL185W,607
A,YDL188C,1012
A,YDL192W,136
A,YDL195W,1552
A,YDL198C,3110
A,YDL200C,1556
A,YDL207W,3324
A,YDL220C,2623
A,YDL226C,2158
A,YDL229W,82
A,YDL232W,5111
A,YDR002W,1228
A,YDR021W,149
A,YDR025W,425
A,YDR028C,3170
A,YDR052C,2222
A,YDR054C,163
A,YDR074W,1624
A,YDR081C,3171
A,YDR082W,4099
A,YDR087C,634
A,YDR113C,2475
A,YDR118W,2948
A,YDR138W,3185
A,YDR150W,3343
A,YDR155C,294
A,YDR159W,1928
A,YDR173C,1298
A,YDR174W,1299
A,YDR176W,2381
A,YDR182W,3829
A,YDR195W,4356
A,YDR207C,1291
A,YDR212W,126
A,YDR225W,373
A,YDR226W,260
A,YDR245W,2846
A,YDR251W,4777
A,YDR264C,2808
A,YDR283C,103
A,YDR323C,2963
A,YDR353W,617
A,YDR364C,1706
A,YDR390C,761
A,YDR427W,3257
A,YDR432W,497
A,YDR448W,1205
A,YDR454C,71
A,YDR457W,395
A,YDR483W,3788
A,YDR484W,2334
A,YDR488C,4779
A,YDR495C,2187
A,YDR498C,4016
A,YDR507C,2709
A,YEL003W,1237
A,YEL013W,2236
A,YEL019C,2558
A,YEL027W,875
A,YEL034W,166
A,YEL036C,3126
A,YER007W,3378
A,YER008C,3651
A,YER016W,1278
A,YER021W,2237
A,YER022W,3528
A,YER023W,327
A,YER032W,4563
A,YER068W,1936
A,YER107C,1190
A,YER111C,183
A,YER125W,77
A,YER127W,1035
A,YER155C,1989
A,YER159C,3570
A,YER168C,964
A,YER172C,1004
A,YFL001W,916
A,YFL002C,310
A,YFL009W,1524
A,YFL016C,1482
A,YFL029C,644
A,YFL037W,113
A,YFL038C,717
A,YFL039C,0
A,YFL045C,264
A,YFR002W,2668
A,YFR004W,154
A,YFR019W,799
A,YFR027W,2166
A,YFR033C,1680
A,YFR036W,4427
A,YFR052W,1940
A,YGL003C,725
A,YGL022W,1785
A,YGL044C,1850
A,YGL055W,267
A,YGL058W,184
A,YGL070C,1318
A,YGL073W,1140
A,YGL076C,329
A,YGL078C,129
A,YGL092W,2469
A,YGL093W,3745
A,YGL100W,3000
A,YGL105W,235
A,YGL120C,173
A,YGL128C,2777
A,YGL130W,3351
A,YGL135W,432
A,YGL137W,1914
A,YGL155W,3832
A,YGL173C,418
A,YGL178W,1630
A,YGL189C,1313
A,YGL190C,1382
A,YGL206C,454
A,YGL212W,2055
A,YGL216W,1267
A,YGL238W,1740
A,YGL240W,2549
A,YGL255W,2543
A,YGR009C,2883
A,YGR036C,3314
A,YGR056W,1177
A,YGR063C,2416
A,YGR075C,4230
A,YGR078C,1614
A,YGR082W,1403
A,YGR092W,1685
A,YGR104C,3690
A,YGR105W,3879
A,YGR116W,339
A,YGR120C,3718
A,YGR140W,2562
A,YGR159C,682
A,YGR162W,157
A,YGR167W,2550
A,YGR180C,1361
A,YGR214W,148
A,YGR216C,3897
A,YGR217W,1331
A,YGR252W,211
A,YGR262C,2477
A,YGR274C,2032
A,YGR276C,2417
A,YHL004W,544
A,YHL011C,642
A,YHL027W,726
A,YHL031C,2577
A,YHL035C,4090
A,YHR002W,4046
A,YHR004C,2438
A,YHR010W,701
A,YHR023W,404
A,YHR027C,791
A,YHR030C,179
A,YHR038W,1082
A,YHR041C,3585
A,YHR051W,1746
A,YHR057C,1616
A,YHR059W,4285
A,YHR060W,4104
A,YHR064C,123
A,YHR067W,4818
A,YHR068W,1517
A,YHR084W,1967
A,YHR098C,2670
A,YHR101C,4524
A,YHR107C,2324
A,YHR120W,2655
A,YHR135C,1253
A,YHR137W,3260
A,YHR164C,752
A,YHR166C,478
A,YHR168W,847
A,YHR174W,219
A,YHR187W,4908
A,YHR205W,505
A,YIL031W,1691
A,YIL033C,178
A,YIL061C,1941
A,YIL063C,2336
A,YIL075C,1263
A,YIL078W,176
A,YIL115C,2448
A,YIL118W,1328
A,YIL119C,4495
A,YIL126W,330
A,YIL128W,1477
A,YIL142W,196
A,YIL150C,2425
A,YIL154C,5501
A,YIR009W,2002
A,YIR011C,5027
A,YIR024C,4808
A,YIR038C,807
A,YJL001W,1801
A,YJL004C,2865
A,YJL005W,249
A,YJL006C,2109
A,YJL014W,240
A,YJL041W,1766
A,YJL054W,3329
A,YJL061W,4496
A,YJL080C,754
A,YJL089W,3174
A,YJL091C,3330
A,YJL095W,481
A,YJL099W,3721
A,YJL101C,1789
A,YJL115W,650
A,YJL125C,694
A,YJL127C,1837
A,YJL140W,1661
A,YJL141C,206
A,YJL167W,976
A,YJL174W,4757
A,YJL203W,1794
A,YJL204C,2671
A,YJL209W,4077
A,YJL210W,3956
A,YJR002W,1062
A,YJR006W,2461
A,YJR031C,2450
A,YJR032W,1463
A,YJR042W,2451
A,YJR043C,2769
A,YJR055W,5502
A,YJR068W,848
A,YJR076C,2249
A,YJR090C,1396
A,YJR093C,3237
A,YKL009W,88
A,YKL020C,3239
A,YKL022C,1795
A,YKL028W,3410
A,YKL056C,1199
A,YKL057C,3839
A,YKL073W,788
A,YKL080W,2681
A,YKL113C,346
A,YKL117W,1022
A,YKL122C,5170
A,YKL139W,1366
A,YKL154W,2393
A,YKL167C,4641
A,YKL181W,376
A,YKL213C,1748
A,YKR001C,440
A,YKR024C,351
A,YKR082W,1466
A,YKR086W,1352
A,YLL006W,3619
A,YLL008W,261
A,YLL026W,90
A,YLL036C,696
A,YLL039C,3
A,YLL050C,1307
A,YLL060C,1547
A,YLR025W,1954
A,YLR038C,1662
A,YLR048W,153
A,YLR075W,331
A,YLR078C,3207
A,YLR102C,3694
A,YLR127C,3759
A,YLR148W,2394
A,YLR175W,39
A,YLR195C,2403
A,YLR197W,66
A,YLR200W,1457
A,YLR223C,1335
A,YLR229C,243
A,YLR234W,159
A,YLR240W,374
A,YLR244C,646
A,YLR262C,1293
A,YLR268W,1294
A,YLR298C,2771
A,YLR305C,575
A,YLR310C,1948
A,YLR314C,2017
A,YLR319C,3033
A,YLR337C,3034
A,YLR342W,977
A,YLR357W,946
A,YLR369W,539
A,YLR371W,1681
A,YLR372W,1241
A,YLR378C,127
A,YLR396C,2716
A,YLR399C,547
A,YLR403W,2086
A,YLR430W,475
A,YML008C,282
A,YML031W,4643
A,YML035C,2984
A,YML061C,1446
A,YML062C,4644
A,YML078W,902
A,YML085C,438
A,YML094W,727
A,YML097C,456
A,YML104C,3143
A,YML105C,2145
A,YML112W,3425
A,YML121W,2674
A,YML130C,2377
A,YMR001C,550
A,YMR021C,3588
A,YMR032W,1828
A,YMR038C,1949
A,YMR047C,1933
A,YMR078C,1626
A,YMR094W,3918
A,YMR106C,1572
A,YMR116C,59
A,YMR137C,2253
A,YMR138W,3534
A,YMR146C,536
A,YMR154C,2742
A,YMR216C,1355
A,YMR223W,1943
A,YMR235C,1391
A,YMR275C,3090
A,YMR284W,1223
A,YMR294W,4157
A,YMR301C,2176
A,YMR302C,4569
A,YMR304W,795
A,YMR308C,340
A,YNL001W,1693
A,YNL007C,1149
A,YNL030W,142
A,YNL054W,4539
A,YNL062C,1112
A,YNL079C,1619
A,YNL084C,1804
A,YNL098C,254
A,YNL112W,55
A,YNL135C,562
A,YNL137C,398
A,YNL138W,2626
A,YNL139C,1688
A,YNL151C,2169
A,YNL153C,1158
A,YNL154C,1659
A,YNL189W,556
A,YNL209W,72
A,YNL215W,4393
A,YNL221C,2612
A,YNL225C,3639
A,YNL236W,3394
A,YNL243W,1923
A,YNL252C,2034
A,YNL261W,1971
A,YNL287W,1642
A,YNL307C,110
A,YNL312W,1250
A,YNR010W,3547
A,YNR023W,3196
A,YNR038W,535
