type,protein
Conditional phenotypes,YAL002W
Conditional phenotypes,YAL009W
Conditional phenotypes,YAL010C
Conditional phenotypes,YAL013W
Conditional phenotypes,YAL016W
Conditional phenotypes,YAL020C
Conditional phenotypes,YAL021C
Conditional phenotypes,YAL024C
Conditional phenotypes,YAL025C
Conditional phenotypes,YAL026C
Conditional phenotypes,YAL035W
Conditional phenotypes,YAL041W
Conditional phenotypes,YAL047C
Conditional phenotypes,YBL002W
Conditional phenotypes,YBL003C
Conditional phenotypes,YBL007C
Conditional phenotypes,YBL025W
Conditional phenotypes,YBL027W
Conditional phenotypes,YBL035C
Conditional phenotypes,YBL058W
Conditional phenotypes,YBL079W
Conditional phenotypes,YBL091C
Conditional phenotypes,YBL097W
Conditional phenotypes,YBR001C
Conditional phenotypes,YBR009C
Conditional phenotypes,YBR017C
Conditional phenotypes,YBR048W
Conditional phenotypes,YBR055C
Conditional phenotypes,YBR073W
Conditional phenotypes,YBR079C
Conditional phenotypes,YBR081C
Conditional phenotypes,YBR082C
Conditional phenotypes,YBR087W
Conditional phenotypes,YBR088C
Conditional phenotypes,YBR112C
Conditional phenotypes,YBR127C
Conditional phenotypes,YBR158W
Conditional phenotypes,YBR159W
Conditional phenotypes,YBR160W
Conditional phenotypes,YBR169C
Conditional phenotypes,YBR171W
Conditional phenotypes,YBR179C
Conditional phenotypes,YBR185C
Conditional phenotypes,YBR189W
Conditional phenotypes,YBR200W
Conditional phenotypes,YBR212W
Conditional phenotypes,YBR253W
Conditional phenotypes,YBR279W
Conditional phenotypes,YCL004W
Conditional phenotypes,YCL029C
Conditional phenotypes,YCL043C
Conditional phenotypes,YCR002C
Conditional phenotypes,YCR021C
Conditional phenotypes,YCR028C
Conditional phenotypes,YCR034W
Conditional phenotypes,YCR042C
Conditional phenotypes,YCR044C
Conditional phenotypes,YCR047C
Conditional phenotypes,YCR063W
Conditional phenotypes,YCR077C
Conditional phenotypes,YCR088W
Conditional phenotypes,YCR094W
Conditional phenotypes,YDL003W
